Scrape,Title,Address,URL
2018-04-03 16:47:13.142964,MANY ART PAINTINGS ... MANY SIGNED ... ALL ITEMS ARE LISTED IN AD.,,https://orlando.craigslist.org/clt/d/many-art-paintings-many/6532774925.html
2018-04-03 16:47:13.142964,Amazing Deal!--6 RETIRED Cow Parade Figurines & Book,Ft. Lauderdale,https://miami.craigslist.org/mdc/clt/d/amazing-deal-6-retired-cow/6501589896.html
2018-04-03 16:47:13.263856,Turandot - Met Opera - Discounted Tickets Available,Upper West Side,https://newyork.craigslist.org/mnh/tix/d/turandot-met-opera-discounted/6530454118.html
2018-04-03 16:47:13.263856,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book,,https://newjersey.craigslist.org/bks/d/complete-aromatherapy/6520305215.html
2018-04-03 16:47:13.354486,"Microwave Engineering Passive Circuits by Peter A Rizzi 1988, Hardcove",,https://cleveland.craigslist.org/for/d/microwave-engineering-passive/6542305401.html
Scrape,Title,Address,URL
2018-04-09 13:08:53.290562,MANY ART PAINTINGS ... MANY SIGNED ... ALL ITEMS ARE LISTED IN AD.,,https://orlando.craigslist.org/clt/d/many-art-paintings-many/6532774925.html
2018-04-09 13:08:53.318970,GERMAN Art Picture Book DEUTSCHLAND Freiburg Max Klinger BECKMANN KLEE,potrero hill,https://sfbay.craigslist.org/sfc/bks/d/german-art-picture-book/6552817654.html
2018-04-09 13:08:53.347683,HUGE PRINT Fazzino WALL STREET 3d Rizzi  Man Cave,,https://longisland.craigslist.org/art/d/huge-print-fazzino-wall/6554932675.html
2018-04-09 13:08:53.347683,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book,,https://newjersey.craigslist.org/for/d/complete-aromatherapy/6553433887.html
2018-04-09 13:08:53.450267,"Microwave Engineering Passive Circuits by Peter A Rizzi 1988, Hardcove",,https://cleveland.craigslist.org/for/d/microwave-engineering-passive/6542305401.html
Scrape,Title,Address,URL
2018-04-12 16:04:49.316850,MANY ART PAINTINGS ... MANY SIGNED ... ALL ITEMS ARE LISTED IN AD.,,https://orlando.craigslist.org/clt/d/many-art-paintings-many/6532774925.html
2018-04-12 16:04:49.329753,GERMAN Art Picture Book DEUTSCHLAND Freiburg Max Klinger BECKMANN KLEE,potrero hill,https://sfbay.craigslist.org/sfc/bks/d/german-art-picture-book/6552817654.html
2018-04-12 16:04:49.366646,HUGE PRINT Fazzino WALL STREET 3d Rizzi  Man Cave,,https://longisland.craigslist.org/art/d/huge-print-fazzino-wall/6554932675.html
2018-04-12 16:04:49.366646,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book,,https://newjersey.craigslist.org/for/d/complete-aromatherapy/6553433887.html
2018-04-12 16:04:49.375527,"Microwave Engineering Passive Circuits by Peter A Rizzi 1988, Hardcove",,https://cleveland.craigslist.org/for/d/microwave-engineering-passive/6542305401.html
Scrape,Title,Address,URL
2018-04-12 16:15:04.266121,MANY ART PAINTINGS ... MANY SIGNED ... ALL ITEMS ARE LISTED IN AD.,,https://orlando.craigslist.org/clt/d/many-art-paintings-many/6532774925.html
2018-04-12 16:15:04.286484,GERMAN Art Picture Book DEUTSCHLAND Freiburg Max Klinger BECKMANN KLEE,potrero hill,https://sfbay.craigslist.org/sfc/bks/d/german-art-picture-book/6552817654.html
2018-04-12 16:15:04.325085,HUGE PRINT Fazzino WALL STREET 3d Rizzi  Man Cave,,https://longisland.craigslist.org/art/d/huge-print-fazzino-wall/6554932675.html
2018-04-12 16:15:04.325085,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book,,https://newjersey.craigslist.org/for/d/complete-aromatherapy/6553433887.html
2018-04-12 16:15:04.333732,"Microwave Engineering Passive Circuits by Peter A Rizzi 1988, Hardcove",,https://cleveland.craigslist.org/for/d/microwave-engineering-passive/6542305401.html
Scrape,Title,Address,URL
2018-04-12 16:17:49.668189,HUGE PRINT Fazzino WALL STREET 3d Rizzi  Man Cave,,https://longisland.craigslist.org/art/d/huge-print-fazzino-wall/6554932675.html
2018-04-12 16:17:49.668189,Complete Aromatherapy Handbook Essential Oils For Radiant Health Book,,https://newjersey.craigslist.org/for/d/complete-aromatherapy/6553433887.html
2018-04-12 16:17:49.684794,GERMAN Art Picture Book DEUTSCHLAND Freiburg Max Klinger BECKMANN KLEE,potrero hill,https://sfbay.craigslist.org/sfc/bks/d/german-art-picture-book/6552817654.html
2018-04-12 16:17:49.697575,"Microwave Engineering Passive Circuits by Peter A Rizzi 1988, Hardcove",,https://cleveland.craigslist.org/for/d/microwave-engineering-passive/6542305401.html
2018-04-12 16:17:49.703670,MANY ART PAINTINGS ... MANY SIGNED ... ALL ITEMS ARE LISTED IN AD.,,https://orlando.craigslist.org/clt/d/many-art-paintings-many/6532774925.html
